"type","maincategory_en","combotype","subcategory_en"
"23","Banks","23023","Pancreta Bank"
"23","Banks","23025","Cooperative Bank of Chania"
"23","Banks","23028","Other Banks"
"23","Banks","23029","Bank of Greece"
"24","Health","24001","Hospitals"
"24","Health","24002","Private clinics"
"24","Health","24003","Health Centers"
"24","Health","24004","Regional Clinics"
"24","Health","24005","Social Insurance Institute"
"24","Health","24006","Diagnostic centers"
"24","Health","24007","Center for Open Elderly Protection"
"24","Health","24008","Day Care Centers for the Elderly"
"24","Health","24009","Help at home"
"24","Health","24010","Pharmacies"
"24","Health","24011","Nursing homes"
"25","Natural Attractions","25001","Preserved monuments of nature"
"25","Natural Attractions","25002","Lakes"
"25","Natural Attractions","25003","Caves"
"25","Natural Attractions","25004","Canyons"
"25","Natural Attractions","25005","Mountains – Hills"
"27","Super Market","27005","Lidl"
"27","Super Market","27006","Makro"
"27","Super Market","27007","Metro"
"27","Super Market","27008","AB Vasilopoulos"
"27","Super Market","27010","Veropoulos"
"27","Super Market","27011","Galaxias"
"27","Super Market","27012","Masoutis"
"27","Super Market","27014","Sclavenitis"
"27","Super Market","27015","ELOMAS"
"27","Super Market","27016","Other super markets"
"27","Super Market","27018","ENA Cash & Carry"
"27","Super Market","27019","My market"
"27","Super Market","27020","OK Anytime Markets"
"27","Super Market","27021","Smile Markets"
"27","Super Market","27023","Greek diet COOP"
"28","Chain stores","28002","Cosmote"
"28","Chain stores","28007","Hondos Center"
"28","Chain stores","28008","Ikea"
"28","Chain stores","28009","Jumbo"
"28","Chain stores","28011","Mediamarkt"
"28","Chain stores","28014","Oteshops"
"28","Chain stores","28015","Praktiker"
"28","Chain stores","28016","Public"
"28","Chain stores","28018","Vodafone"
"28","Chain stores","28019","Wind"
"28","Chain stores","28020","Germanos"
"28","Chain stores","28022","Kotsovolos"
"28","Chain stores","28023","Plaisio"
"28","Chain stores","28026","Other shops"
"28","Chain stores","28028","Leroy Melrin"
"28","Chain stores","28031","Forthnet"
"28","Chain stores","28033","U you"
"28","Chain stores","28041","INTERSPORT"
"28","Chain stores","28042","Nakas"
"28","Chain stores","28044","Cyta"
"28","Chain stores","28052","MLS Stores"
"34","Religion","34001","Churches"
"34","Natural Attractions","34002","Mountains – Hills"
"34","Natural Attractions","34003","Place name"
"34","Natural Attractions","34004","Capes"
"34","Natural Attractions","34005","Rivers – Bays"
"35","Chain stores","35000","Folli Follie"
